"(3, 3, 6, 8, 10, 'os', 1)","[('425221', 88.76594436760664), ('92419', 66.66666666666674), ('923', 32.323232323232325), ('8719', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 8, 8, 10, 'os', 1)","[('390657', 88.76594436760664), ('92123', 66.66666666666674), ('923', 32.323232323232325), ('8719', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 8, 6, 10, 'os', 1)","[('390657', 88.76594436760664), ('92123', 66.66666666666674), ('923', 32.323232323232325), ('11369', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 5, 6, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('11273', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 5, 5, 10, 'os', 1)","[('460975', 88.76594436760664), ('91877', 66.66666666666674), ('923', 32.323232323232325), ('10007', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 5, 9, 10, 'os', 1)","[('460975', 88.76594436760664), ('91877', 66.66666666666674), ('923', 32.323232323232325), ('9363', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 7, 8, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('8701', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 9, 6, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('11273', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 9, 10, 'os', 1)","[('894133', 88.76594436760664), ('186117', 66.66666666666674), ('923', 32.323232323232325), ('9363', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 8, 6, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('11273', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 10, 6, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('11273', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 10, 10, 'os', 1)","[('894133', 88.76594436760664), ('186117', 66.66666666666674), ('923', 32.323232323232325), ('10039', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 10, 5, 10, 'os', 1)","[('310017', 88.76594436760664), ('92459', 66.66666666666674), ('923', 32.323232323232325), ('10007', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 9, 8, 10, 'os', 1)","[('269641', 88.76594436760664), ('92231', 66.66666666666674), ('923', 32.323232323232325), ('8719', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 9, 5, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9947', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 8, 9, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9331', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 6, 10, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9983', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 8, 8, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('8701', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 8, 7, 10, 'os', 1)","[('390657', 88.76594436760664), ('92123', 66.66666666666674), ('923', 32.323232323232325), ('19899', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 8, 10, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9983', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 5, 8, 10, 'os', 1)","[('460975', 88.76594436760664), ('91877', 66.66666666666674), ('923', 32.323232323232325), ('8719', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 9, 8, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('8701', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 9, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9331', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 6, 5, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9947', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 5, 7, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('19771', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 6, 8, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('8701', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 8, 10, 'os', 1)","[('894133', 88.76594436760664), ('186117', 66.66666666666674), ('923', 32.323232323232325), ('8719', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 7, 7, 10, 'os', 1)","[('894133', 88.76594436760664), ('186117', 66.66666666666674), ('923', 32.323232323232325), ('19899', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 7, 6, 10, 'os', 1)","[('894133', 88.76594436760664), ('186117', 66.66666666666674), ('923', 32.323232323232325), ('11369', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 5, 9, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9331', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 6, 7, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('19771', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 6, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('11273', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 8, 7, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('19771', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 5, 8, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('8701', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 7, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('19771', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 10, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9983', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 6, 9, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9331', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 5, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9947', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 7, 5, 10, 'os', 1)","[('894133', 88.76594436760664), ('186117', 66.66666666666674), ('923', 32.323232323232325), ('10007', 32.92181069958847), ('559', 33.33333333333335)]"
"(3, 3, 10, 5, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9947', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 6, 6, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('11273', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 5, 10, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9983', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 8, 5, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9947', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 9, 9, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9331', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 5, 5, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9947', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 9, 10, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('9983', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 3, 9, 7, 10, 'is', 1)","[('198679', 99.86168741355456), ('57023', 100.0), ('1052', 32.92181069958847), ('19771', 33.33333333333335), ('507', 27.77777777777778)]"
"(3, 4, 5, 5, 10, 'os', 1)","[('307315', 99.86168741355462), ('45901', 100.0), ('679', 33.33333333333333), ('10027', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 6, 10, 'os', 1)","[('307315', 99.86168741355462), ('45901', 100.0), ('679', 33.33333333333333), ('11555', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 8, 10, 'os', 1)","[('307315', 99.86168741355462), ('45901', 100.0), ('679', 33.33333333333333), ('8557', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 7, 10, 'os', 1)","[('307315', 99.86168741355462), ('45901', 100.0), ('679', 33.33333333333333), ('21527', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 10, 10, 'os', 1)","[('307315', 99.86168741355462), ('45901', 100.0), ('679', 33.33333333333333), ('10059', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 9, 10, 'os', 1)","[('307315', 99.86168741355462), ('45901', 100.0), ('679', 33.33333333333333), ('9295', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 6, 10, 'ws', 1)","[('199970', 100.0), ('56038', 100.0), ('1943', 98.76543209876543), ('39875', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 5, 7, 10, 'ws', 1)","[('199970', 100.0), ('56038', 100.0), ('1943', 98.76543209876543), ('8969', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 5, 5, 10, 'ws', 1)","[('199970', 100.0), ('56038', 100.0), ('1943', 98.76543209876543), ('94777', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 5, 10, 'os', 1)","[('272129', 99.86168741355462), ('48097', 100.0), ('679', 33.33333333333333), ('10027', 33.33333333333332), ('449', 33.33333333333333)]"
"(3, 4, 5, 8, 10, 'ws', 1)","[('199970', 100.0), ('56038', 100.0), ('1943', 98.76543209876543), ('29891', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 5, 9, 10, 'ws', 1)","[('199970', 100.0), ('56038', 100.0), ('1943', 98.76543209876543), ('19209', 100.0), ('1079', 83.33333333333331)]"
"(3, 4, 6, 6, 10, 'os', 1)","[('272129', 99.86168741355462), ('48097', 100.0), ('679', 33.33333333333333), ('11555', 33.33333333333332), ('449', 33.33333333333333)]"
